a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2017,Abril,Panamá,591,9,8,17,"(7.128456,-73.183637)"
2014,Noviembre,Turquía,792,3,4,7,"(3.541112,-76.384584)"
2013,Septiembre,Uruguay,858,1,1,2,"(4.815061,-75.736532)"
2017,Marzo,Perú,604,3654,4448,8102,"(4.697144,-74.140516)"
2012,Marzo,España,724,5,11,16,"(10.886611,-74.776708)"
2016,Abril,Bulgaria,100,1,0,1,"(7.927209,-72.507910)"
2014,Mayo,Kenia,404,2,0,2,"(3.541112,-76.384584)"
2017,Marzo,Rumania,642,0,1,1,"(0.814836,-77.662532)"
2022,Septiembre,Ecuador,218,126,122,248,"(3.541112,-76.384584)"
2022,Febrero,El Salvador,222,0,1,1,"(10.408582,-75.538003)"
2019,Enero,Bélgica,56,1,1,2,"(7.818934,-72.453226)"
2022,Octubre,Argentina,32,1,0,1,"(8.36068,-72.409396)"
2013,Febrero,República de Corea,410,1,1,2,"(10.408582,-75.538003)"
2012,Marzo,Suecia,752,0,2,2,"(11.247723,-74.213989)"
2020,Febrero,Suiza,756,631,942,1573,"(4.697144,-74.140516)"
2017,Octubre,Brasil,76,1724,1267,2991,"(10.445761,-75.516429)"
2012,Diciembre,Uruguay,858,1,8,9,"(0.814836,-77.662532)"
2016,Agosto,Bolivia,68,441,551,992,"(4.697144,-74.140516)"
2022,Marzo,República Dominicana,214,1,7,8,"(4.452882,-75.766298)"
2017,Julio,El Salvador,222,5,10,15,"(10.886611,-74.776708)"
2016,Agosto,Turquía,792,0,2,2,"(7.818934,-72.453226)"
2018,Enero,Cuba,192,0,9,9,"(10.408582,-75.538003)"
2023,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,1,1,"(10.971302,-74.765397)"
2019,Febrero,Estados Unidos de América,840,10,11,21,"(8.635765,-77.346578)"
2013,Septiembre,Bolivia,68,1,1,2,"(-4.197703,-69.941278)"
2013,Julio,Nueva Zelanda,554,1,0,1,"(4.452882,-75.766298)"
2016,Julio,Argelia,12,1,4,5,"(4.697144,-74.140516)"
2017,Abril,República de Corea,410,5,3,8,"(12.586067,-81.702563)"
2014,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,1,1,"(0.25129,-76.875963)"
2018,Septiembre,Rwanda,646,2,0,2,"(10.445761,-75.516429)"
2014,Marzo,República Dominicana,214,0,1,1,"(11.247723,-74.213989)"
2015,Abril,Chile,152,0,1,1,"(4.452882,-75.766298)"
2020,Enero,Tailandia,764,0,3,3,"(11.247723,-74.213989)"
2015,Septiembre,República Dominicana,214,3,0,3,"(4.815061,-75.736532)"
2022,Diciembre,Puerto Rico/Territorio de Estados Unidos,630,0,2,2,"(4.697144,-74.140516)"
2018,Marzo,Islandia,352,1,2,3,"(6.171601,-75.427454)"
2018,Septiembre,Perú,604,0,1,1,"(6.185799,-67.483929)"
2021,Mayo,Panamá,591,1,0,1,"(12.5744111,-81.703935)"
2019,Enero,Samoa Occidental,882,1,0,1,"(4.697144,-74.140516)"
2012,Febrero,Santa Lucia,662,0,1,1,"(10.886611,-74.776708)"
2012,Agosto,Nepal,524,0,2,2,"(4.697144,-74.140516)"
2021,Agosto,Bahamas,44,13,4,17,"(3.541112,-76.384584)"
2019,Octubre,Grecia,300,0,1,1,"(7.128456,-73.183637)"
2019,Diciembre,Senegal,686,1,2,3,"(4.697144,-74.140516)"
2022,Febrero,Perú,604,0,1,1,"(7.102626,-77.762647)"
2019,Noviembre,Kirguistán,417,1,0,1,"(4.697144,-74.140516)"
2012,Marzo,Croacia,191,5,35,40,"(4.697144,-74.140516)"
2022,Abril,Costa Rica,188,9,13,22,"(4.815061,-75.736532)"
2019,Septiembre,Sudáfrica,710,4,2,6,"(0.814836,-77.662532)"
2012,Noviembre,Países Bajos,528,1,9,10,"(7.818934,-72.453226)"
2018,Octubre,Nigeria,566,0,1,1,"(6.171601,-75.427454)"
2017,Noviembre,Venezuela,862,1,7,8,"(6.17134,-75.427194)"
2018,Diciembre,Ecuador,218,1,0,1,"(11.117806,-74.232622)"
2023,Mayo,Guatemala,320,1,12,13,"(4.815061,-75.736532)"
2022,Julio,República de Irlanda,372,1,1,2,"(7.128456,-73.183637)"
2022,Junio,Francia,250,2,0,2,"(7.916725,-72.462544)"
2015,Diciembre,Panamá,591,0,4,4,"(7.818934,-72.453226)"
2014,Abril,Australia,36,13,23,36,"(3.541112,-76.384584)"
2017,Octubre,India,356,1,4,5,"(3.893038,-77.067921)"
2015,Diciembre,Alemania,276,0,1,1,"(7.088729,-70.740253)"
2020,Febrero,Taiwán,158,2,2,4,"(0.814836,-77.662532)"
2018,Septiembre,México,484,17,22,39,"(10.408582,-75.538003)"
2016,Agosto,Federación de Rusia,643,1,0,1,"(8.635765,-77.346578)"
2022,Septiembre,República de Irlanda,372,4,7,11,"(3.541112,-76.384584)"
2013,Abril,España,724,5,9,14,"(-4.197703,-69.941278)"
2012,Diciembre,Bulgaria,100,1,0,1,"(0.814836,-77.662532)"
2019,Noviembre,Estonia,233,1,4,5,"(6.171601,-75.427454)"
2017,Enero,Estados Unidos de América,840,54,96,150,"(4.452882,-75.766298)"
2020,Diciembre,Venezuela,862,3,3,6,"(10.971302,-74.765397)"
2017,Octubre,Chile,152,51,83,134,"(3.541112,-76.384584)"
2015,Septiembre,Macedonia,807,0,1,1,"(4.697144,-74.140516)"
2014,Octubre,Rwanda,646,2,1,3,"(4.697144,-74.140516)"
2018,Marzo,Bulgaria,100,32,47,79,"(4.697144,-74.140516)"
2018,Abril,Federación de Rusia,643,22,20,42,"(10.445761,-75.516429)"
2021,Febrero,Ecuador,218,1,1,2,"(7.818934,-72.453226)"
2023,Enero,España,724,509,856,1365,"(6.171601,-75.427454)"
2014,Febrero,México,484,0,1,1,"(7.102626,-77.762647)"
2016,Julio,República de Irlanda,372,17,14,31,"(10.445761,-75.516429)"
2016,Febrero,Guyana,328,1,0,1,"(7.128456,-73.183637)"
2013,Noviembre,España,724,172,454,626,"(6.171601,-75.427454)"
2022,Julio,Venezuela,862,975,961,1938,"(6.171601,-75.427454)"
2018,Agosto,Suiza,756,1,0,1,"(0.25129,-76.875963)"
2013,Junio,Japón,392,1,1,2,"(11.360009,-72.129330)"
2015,Marzo,Ecuador,218,155,244,399,"(7.818934,-72.453226)"
2012,Mayo,Países Bajos,528,1,0,1,"(-4.197703,-69.941278)"
2022,Enero,San  Vicente y las Granadinas,670,3,3,6,"(10.886611,-74.776708)"
2012,Noviembre,Bahamas,44,0,3,3,"(6.171601,-75.427454)"
2019,Julio,Guyana,328,6,5,11,"(10.445761,-75.516429)"
2015,Octubre,Israel,376,3,2,5,"(-4.197703,-69.941278)"
2017,Enero,Canadá,124,1178,1884,3062,"(4.697144,-74.140516)"
2017,Julio,España,724,65,71,136,"(0.814836,-77.662532)"
2021,Enero,Cuba,192,14,15,29,"(6.171601,-75.427454)"
2014,Agosto,Panamá,591,0,1,1,"(11.117806,-74.232622)"
2015,Diciembre,Argentina,32,3422,4905,8327,"(4.697144,-74.140516)"
2013,Mayo,Guatemala,320,7,15,22,"(7.818934,-72.453226)"
2022,Octubre,República de Corea,410,1,0,1,"(0.814836,-77.662532)"
2012,Febrero,Surinam,740,4,1,5,"(10.445761,-75.516429)"
2016,Mayo,Estados Unidos de América,840,132,202,334,"(4.452882,-75.766298)"
2014,Noviembre,Filipinas,608,1,0,1,"(8.635765,-77.346578)"
2015,Febrero,Suecia,752,11,17,28,"(10.445761,-75.516429)"
2023,Abril,Ucrania,804,0,4,4,"(10.886611,-74.776708)"
2019,Diciembre,Líbano,422,0,2,2,"(10.445761,-75.516429)"
2015,Septiembre,Panamá,591,48,49,97,"(12.586067,-81.702563)"
2017,Septiembre,Desconocido,99999,1,1,2,"(1.813928,-78.763924)"
2012,Septiembre,Suecia,752,2,9,11,"(10.445761,-75.516429)"
2016,Agosto,Guatemala,320,9,16,25,"(10.886611,-74.776708)"
2018,Marzo,Nepal,524,1,5,6,"(4.697144,-74.140516)"
2016,Octubre,Honduras,340,1,4,5,"(4.815061,-75.736532)"
2023,Mayo,México,484,16,33,49,"(4.815061,-75.736532)"
2018,Septiembre,Israel,376,0,1,1,"(-4.223468,-69.945098)"
2013,Abril,Canadá,124,1,7,8,"(4.815061,-75.736532)"
2014,Enero,Argentina,32,5241,5387,10628,"(4.697144,-74.140516)"
2022,Junio,Paraguay,600,9,4,13,"(12.586067,-81.702563)"
2017,Septiembre,Estados Unidos de América,840,0,4,4,"(-4.223468,-69.945098)"
2018,Marzo,Bermudas/Territorio Británico de Ultramar,60,1,2,3,"(6.171601,-75.427454)"
2013,Marzo,Zimbabue,716,1,4,5,"(4.697144,-74.140516)"
2016,Abril,Montenegro,499,1,0,1,"(10.408582,-75.538003)"
2017,Enero,Túnez,788,1,5,6,"(4.697144,-74.140516)"
2021,Noviembre,Liechtenstein,438,0,1,1,"(4.697144,-74.140516)"
2016,Diciembre,Austria,40,15,21,36,"(6.171601,-75.427454)"
2022,Agosto,Francia,250,10,6,16,"(7.916725,-72.462544)"
2013,Mayo,Austria,40,0,1,1,"(3.541112,-76.384584)"
2012,Septiembre,Paraguay,600,3,1,4,"(7.818934,-72.453226)"
2012,Junio,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,4,5,"(-4.197703,-69.941278)"
2018,Septiembre,Austria,40,0,1,1,"(7.818934,-72.453226)"
2014,Febrero,Chile,152,132,185,317,"(6.171601,-75.427454)"
2014,Enero,Japón,392,6,26,32,"(0.814836,-77.662532)"
2015,Abril,España,724,5,8,13,"(-4.197703,-69.941278)"
2014,Noviembre,Costa Rica,188,47,69,116,"(10.445761,-75.516429)"
2021,Diciembre,Canadá,124,0,1,1,"(8.635765,-77.346578)"
2022,Febrero,Países Bajos,528,6,4,10,"(0.814836,-77.662532)"
2016,Noviembre,Federación de Rusia,643,168,238,406,"(4.697144,-74.140516)"
2019,Diciembre,Canadá,124,0,1,1,"(-4.223468,-69.945098)"
2018,Febrero,India,356,0,1,1,"(12.586067,-81.702563)"
2012,Noviembre,Uganda,800,3,1,4,"(4.697144,-74.140516)"
2021,Enero,Uzbekistán,860,3,3,6,"(4.697144,-74.140516)"
2019,Febrero,Zimbabue,716,1,2,3,"(4.697144,-74.140516)"
2019,Septiembre,Suazilandia,748,1,0,1,"(4.697144,-74.140516)"
2022,Noviembre,Chile,152,0,1,1,"(10.408582,-75.538003)"
2019,Noviembre,Serbia,688,0,1,1,"(0.25129,-76.875963)"
2018,Agosto,Italia,380,1,2,3,"(-4.223468,-69.945098)"
2019,Mayo,México,484,3,4,7,"(7.818934,-72.453226)"
2012,Abril,Federación de Rusia,643,2,0,2,"(10.445761,-75.516429)"
2023,Mayo,Turquía,792,0,2,2,"(4.815061,-75.736532)"
2022,Octubre,Cuba,192,2,0,2,"(7.927209,-72.507910)"
2015,Noviembre,Surinam,740,23,24,47,"(6.171601,-75.427454)"
2014,Septiembre,Federación de Rusia,643,2,11,13,"(10.408582,-75.538003)"
2019,Febrero,Bélgica,56,361,538,899,"(4.697144,-74.140516)"
2016,Julio,Federación de Rusia,643,7,5,12,"(3.541112,-76.384584)"
2012,Septiembre,Bolivia,68,1,0,1,"(-4.197703,-69.941278)"
2016,Octubre,Croacia,191,0,3,3,"(3.541112,-76.384584)"
2012,Diciembre,Brasil,76,9,17,26,"(0.814836,-77.662532)"
2014,Junio,Eslovaquia,703,1,1,2,"(10.408582,-75.538003)"
2021,Junio,Polonia,616,1,7,8,"(10.408582,-75.538003)"
2012,Julio,Federación de Rusia,643,0,1,1,"(9.402978,-75.681599)"
2016,Enero,República de Irlanda,372,2,2,4,"(8.635765,-77.346578)"
2018,Junio,Guatemala,320,1,2,3,"(12.5744111,-81.703935)"
2019,Enero,Desconocido,99999,1,2,3,"(10.445761,-75.516429)"
2016,Febrero,Bélgica,56,0,2,2,"(7.818934,-72.453226)"
2015,Enero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,11,12,23,"(-4.197703,-69.941278)"
2014,Febrero,Estados Unidos de América,840,115,132,247,"(10.408582,-75.538003)"
2016,Octubre,República Dominicana,214,541,697,1238,"(4.697144,-74.140516)"
2015,Septiembre,Polonia,616,2,12,14,"(3.541112,-76.384584)"
2023,Abril,Japón,392,16,22,38,"(6.171601,-75.427454)"
2012,Julio,Lituania,440,0,1,1,"(10.408582,-75.538003)"
2019,Diciembre,Francia,250,2,1,3,"(4.452882,-75.766298)"
2015,Abril,Suiza,756,13,40,53,"(6.171601,-75.427454)"
2020,Febrero,Lituania,440,50,48,98,"(4.697144,-74.140516)"
2022,Octubre,Bahamas,44,13,16,29,"(10.445761,-75.516429)"
2015,Octubre,Trinidad y Tobago,780,0,1,1,"(10.886611,-74.776708)"
2022,Noviembre,Federación de Rusia,643,0,2,2,"(10.971302,-74.765397)"
2018,Diciembre,Lituania,440,6,8,14,"(10.445761,-75.516429)"
2017,Diciembre,República de Belarús,112,1,0,1,"(4.452882,-75.766298)"
2020,Octubre,Suecia,752,0,4,4,"(6.171601,-75.427454)"
2017,Agosto,Letonia,428,0,1,1,"(10.971302,-74.765397)"
2015,Mayo,República Dominicana,214,3,3,6,"(10.433609,-73.247863)"
2013,Agosto,Federación de Rusia,643,10,7,17,"(7.818934,-72.453226)"
2020,Febrero,Uruguay,858,3,4,7,"(4.815061,-75.736532)"
2017,Julio,Suiza,756,43,60,103,"(10.445761,-75.516429)"
2019,Marzo,Países Bajos,528,23,25,48,"(0.814836,-77.662532)"
2012,Julio,India,356,0,1,1,"(11.247723,-74.213989)"
2022,Marzo,Países Bajos,528,5,3,8,"(-4.197703,-69.941278)"
2015,Marzo,Ucrania,804,42,46,88,"(4.697144,-74.140516)"
2021,Diciembre,Argentina,32,9,19,28,"(10.886611,-74.776708)"
2018,Noviembre,Israel,376,1,0,1,"(1.813928,-78.763924)"
2019,Febrero,Chile,152,0,1,1,"(4.452882,-75.766298)"
2023,Febrero,India,356,0,1,1,"(4.452882,-75.766298)"
2012,Abril,Macedonia,807,1,1,2,"(4.697144,-74.140516)"
2019,Marzo,Afganistán,4,0,1,1,"(10.886611,-74.776708)"
2023,Enero,Indonesia,360,0,5,5,"(10.971302,-74.765397)"
2012,Diciembre,Bélgica,56,139,328,467,"(4.697144,-74.140516)"
2019,Julio,Japón,392,0,3,3,"(11.360009,-72.129330)"
2014,Agosto,Polonia,616,2,7,9,"(0.814836,-77.662532)"
2013,Noviembre,Grecia,300,0,1,1,"(10.886611,-74.776708)"
2012,Julio,Burkina Faso,854,1,0,1,"(0.814836,-77.662532)"
2022,Abril,Alemania,276,1,1,2,"(11.247723,-74.213989)"
2015,Julio,Cuba,192,20,35,55,"(3.541112,-76.384584)"
2020,Enero,Canadá,124,19,31,50,"(10.886611,-74.776708)"
2016,Mayo,Chile,152,1,0,1,"(0.25129,-76.875963)"
2019,Agosto,Bélgica,56,1,1,2,"(-4.197703,-69.941278)"
2022,Julio,Brasil,76,3,6,9,"(7.927209,-72.507910)"
2013,Junio,Italia,380,1,7,8,"(8.635765,-77.346578)"
2021,Diciembre,Nicaragua,558,4,0,4,"(7.128456,-73.183637)"
2014,Enero,Uruguay,858,152,256,408,"(4.697144,-74.140516)"
2017,Octubre,Nigeria,566,0,2,2,"(-4.197703,-69.941278)"
2023,Mayo,Australia,36,7,12,19,"(0.814836,-77.662532)"
2023,Mayo,España,724,19,22,41,"(7.818934,-72.453226)"
2018,Enero,Brasil,76,700,575,1275,"(10.445761,-75.516429)"
2021,Abril,Bahamas,44,0,3,3,"(10.445761,-75.516429)"
2017,Febrero,Estados Unidos de América,840,3415,4597,8012,"(10.445761,-75.516429)"
2016,Mayo,Malasia,458,0,2,2,"(0.814836,-77.662532)"
2017,Octubre,Argelia,12,2,5,7,"(4.697144,-74.140516)"
2018,Julio,Países Bajos,528,6,6,12,"(-4.197703,-69.941278)"
2012,Septiembre,Bolivia,68,20,24,44,"(0.814836,-77.662532)"
2015,Abril,Venezuela,862,64,86,150,"(3.541112,-76.384584)"
2018,Junio,España,724,8,10,18,"(4.815061,-75.736532)"
2012,Marzo,República de Corea,410,6,11,17,"(0.814836,-77.662532)"
2016,Julio,Paraguay,600,0,6,6,"(10.886611,-74.776708)"
2014,Abril,Federación de Rusia,643,0,1,1,"(7.927209,-72.507910)"
2018,Diciembre,Nicaragua,558,1,0,1,"(0.814836,-77.662532)"
2015,Abril,Uruguay,858,132,321,453,"(4.697144,-74.140516)"
2017,Julio,Noruega,578,2,1,3,"(10.408582,-75.538003)"
2017,Noviembre,Francia,250,1,1,2,"(13.3387613,-81.372937)"
2013,Julio,Honduras,340,59,68,127,"(6.171601,-75.427454)"
2016,Diciembre,Venezuela,862,1,1,2,"(7.927209,-72.507910)"
2023,Febrero,Sri Lanka,144,0,16,16,"(10.408582,-75.538003)"
2013,Septiembre,Rumania,642,1,1,2,"(10.445761,-75.516429)"
2021,Agosto,Israel,376,12,40,52,"(10.445761,-75.516429)"
2015,Mayo,Alemania,276,58,102,160,"(6.171601,-75.427454)"
2014,Junio,Georgia,268,1,0,1,"(4.697144,-74.140516)"
2014,Octubre,Líbano,422,1,1,2,"(10.886611,-74.776708)"
2015,Enero,Panamá,591,0,5,5,"(0.814836,-77.662532)"
2019,Noviembre,Estados Unidos de América,840,6,9,15,"(11.247723,-74.213989)"
2019,Diciembre,Kenia,404,2,1,3,"(6.171601,-75.427454)"
2016,Mayo,Jamaica,388,0,3,3,"(3.541112,-76.384584)"
2022,Octubre,República de Moldavia,498,0,1,1,"(10.445761,-75.516429)"
2012,Julio,Panamá,591,3,2,5,"(6.228046,-77.404104)"
2021,Diciembre,Uruguay,858,1,4,5,"(4.815061,-75.736532)"
2020,Febrero,Honduras,340,75,71,146,"(6.171601,-75.427454)"
2012,Julio,Noruega,578,0,2,2,"(7.818934,-72.453226)"
2013,Octubre,Paraguay,600,12,13,25,"(10.445761,-75.516429)"
2023,Febrero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,2,1,3,"(6.18189,-67.47535)"
2018,Abril,Países Bajos,528,3,1,4,"(7.818934,-72.453226)"
2012,Julio,Reino Unido de Gran Bretaña e Irlanda del Norte,826,2,7,9,"(11.360009,-72.129330)"
2018,Abril,Haití,332,2,9,11,"(6.171601,-75.427454)"
2018,Junio,Francia,250,3,5,8,"(11.247723,-74.213989)"
2021,Diciembre,Suecia,752,0,2,2,"(7.818934,-72.453226)"
2022,Julio,España,724,4211,5802,10014,"(4.697144,-74.140516)"
2017,Agosto,Guyana,328,0,4,4,"(10.886611,-74.776708)"
2015,Mayo,Hungría,348,2,0,2,"(6.171601,-75.427454)"
2016,Agosto,Chile,152,1,0,1,"(4.452882,-75.766298)"
2023,Febrero,Sudán,736,0,1,1,"(10.408582,-75.538003)"
2019,Marzo,Brasil,76,87,119,206,"(3.541112,-76.384584)"
2015,Julio,Canadá,124,0,6,6,"(11.360009,-72.129330)"
2019,Diciembre,China,156,2,5,7,"(7.818934,-72.453226)"
2014,Diciembre,Canadá,124,2,1,3,"(13.3387613,-81.372937)"
2012,Octubre,Japón,392,1,10,11,"(10.886611,-74.776708)"
2017,Junio,Camboya,116,0,1,1,"(4.697144,-74.140516)"
2014,Octubre,República Dominicana,214,0,2,2,"(7.128456,-73.183637)"
2016,Agosto,Mauricio,480,0,1,1,"(3.541112,-76.384584)"
2014,Febrero,Sri Lanka,144,0,1,1,"(4.697144,-74.140516)"
2020,Febrero,Austria,40,3,5,8,"(-4.223468,-69.945098)"
2018,Julio,Ecuador,218,707,511,1218,"(10.445761,-75.516429)"
2016,Octubre,Francia,250,50,79,129,"(0.814836,-77.662532)"
2015,Septiembre,México,484,1,1,2,"(4.452882,-75.766298)"
2012,Octubre,Antigua y Barbuda,28,1,1,2,"(4.697144,-74.140516)"
2016,Julio,Sudáfrica,710,3,6,9,"(6.171601,-75.427454)"
2012,Septiembre,Suiza,756,3,8,11,"(7.818934,-72.453226)"
2022,Julio,Turquía,792,0,1,1,"(4.815061,-75.736532)"
2014,Julio,República de Corea,410,0,1,1,"(10.886611,-74.776708)"
2014,Abril,Grecia,300,0,2,2,"(10.971302,-74.765397)"
2019,Junio,Alemania,276,20,29,49,"(10.886611,-74.776708)"
2023,Mayo,Noruega,578,2,1,3,"(10.408582,-75.538003)"
2015,Febrero,Polonia,616,0,1,1,"(11.247723,-74.213989)"
2022,Octubre,Bolivia,68,593,672,1266,"(4.697144,-74.140516)"
2018,Mayo,Suecia,752,118,194,312,"(4.697144,-74.140516)"
2022,Mayo,Etiopia,231,0,1,1,"(10.445761,-75.516429)"
2014,Mayo,Venezuela,862,180,188,368,"(7.927209,-72.507910)"
2014,Diciembre,Bahamas,44,0,2,2,"(10.445761,-75.516429)"
2021,Noviembre,Federación de Rusia,643,19,29,48,"(6.171601,-75.427454)"
2015,Septiembre,Países Bajos,528,10,12,22,"(0.814836,-77.662532)"
2019,Junio,Iraq,368,1,1,2,"(4.697144,-74.140516)"
2023,Febrero,Ecuador,218,1,2,3,"(6.18189,-67.47535)"
2022,Mayo,Qatar,634,0,3,3,"(10.445761,-75.516429)"
2014,Octubre,Australia,36,2,5,7,"(8.635765,-77.346578)"
2019,Mayo,Ucrania,804,0,14,14,"(10.445761,-75.516429)"
2016,Febrero,Venezuela,862,4184,5209,9393,"(4.697144,-74.140516)"
2015,Octubre,Japón,392,1,0,1,"(-4.197703,-69.941278)"
2015,Noviembre,Estonia,233,1,0,1,"(10.445761,-75.516429)"
2017,Diciembre,Grecia,300,0,1,1,"(10.886611,-74.776708)"
2013,Abril,Rumania,642,22,66,88,"(4.697144,-74.140516)"
2013,Junio,Venezuela,862,4,41,45,"(10.408582,-75.538003)"
2018,Julio,Ecuador,218,1,4,5,"(7.088729,-70.740253)"
2022,Febrero,Albania,8,0,6,6,"(6.171601,-75.427454)"
2018,Septiembre,Nigeria,566,0,1,1,"(10.445761,-75.516429)"
2022,Noviembre,Uruguay,858,13,12,25,"(12.586067,-81.702563)"
2019,Junio,Argentina,32,1523,1190,2713,"(10.445761,-75.516429)"
2023,Febrero,Comoras,174,1,1,2,"(4.697144,-74.140516)"
2023,Abril,Portugal,620,2,2,4,"(0.814836,-77.662532)"
2021,Mayo,Noruega,578,0,1,1,"(10.886611,-74.776708)"
2013,Diciembre,Bélgica,56,0,2,2,"(7.927209,-72.507910)"
2013,Julio,Federación de Rusia,643,5,13,18,"(3.541112,-76.384584)"
2012,Diciembre,China,156,7,4,11,"(10.408582,-75.538003)"
2016,Enero,Bulgaria,100,3,0,3,"(3.541112,-76.384584)"
2023,Febrero,Bulgaria,100,0,1,1,"(10.886611,-74.776708)"
2023,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,7,4,11,"(11.117806,-74.232622)"
2012,Septiembre,Francia,250,5,5,10,"(11.247723,-74.213989)"
2022,Octubre,Suiza,756,0,1,1,"(7.916725,-72.462544)"
2018,Diciembre,Argentina,32,3,8,11,"(-4.197703,-69.941278)"
2016,Enero,Israel,376,2,24,26,"(3.541112,-76.384584)"
2021,Diciembre,Malasia,458,1,2,3,"(3.541112,-76.384584)"
2019,Diciembre,Italia,380,152,293,445,"(10.445761,-75.516429)"
2016,Junio,Rumania,642,4,5,9,"(10.445761,-75.516429)"
2018,Enero,Italia,380,1,10,11,"(11.360009,-72.129330)"
2014,Diciembre,Israel,376,0,1,1,"(8.635765,-77.346578)"
2012,Julio,Noruega,578,93,127,220,"(4.697144,-74.140516)"
2018,Enero,Venezuela,862,2200,2314,4514,"(0.814836,-77.662532)"
2019,Julio,China,156,1,1,2,"(8.36068,-72.409396)"
2022,Junio,Francia,250,0,1,1,"(11.360009,-72.129330)"
2019,Febrero,Malasia,458,0,1,1,"(10.408582,-75.538003)"
2014,Mayo,República de Corea,410,0,4,4,"(7.818934,-72.453226)"
2023,Febrero,Paraguay,600,5,3,8,"(11.117806,-74.232622)"
2014,Enero,Canadá,124,4,3,7,"(-4.197703,-69.941278)"
2016,Enero,Uruguay,858,8,13,21,"(10.886611,-74.776708)"
2016,Mayo,Lituania,440,0,1,1,"(3.893038,-77.067921)"
2022,Julio,Surinam,740,7,5,12,"(6.171601,-75.427454)"
2012,Octubre,Costa de Marfil,384,2,3,5,"(3.541112,-76.384584)"
2022,Julio,Venezuela,862,0,4,4,"(6.17134,-75.427194)"
2021,Mayo,Perú,604,1,6,7,"(-4.223468,-69.945098)"
2013,Julio,República de Belarús,112,9,1,10,"(4.697144,-74.140516)"
2023,Enero,Japón,392,6,6,12,"(3.541112,-76.384584)"
2019,Diciembre,Estonia,233,0,1,1,"(3.541112,-76.384584)"
2023,Enero,Eslovenia,705,2,7,9,"(3.541112,-76.384584)"
2012,Abril,Senegal,686,0,1,1,"(4.697144,-74.140516)"
2018,Octubre,España,724,1,1,2,"(11.247723,-74.213989)"
2014,Enero,República Dominicana,214,3,3,6,"(7.927209,-72.507910)"
2015,Diciembre,Hungría,348,3,1,4,"(3.541112,-76.384584)"
2022,Noviembre,Brasil,76,0,2,2,"(7.916725,-72.462544)"
2017,Abril,Desconocido,99999,1,4,5,"(3.541112,-76.384584)"
2018,Agosto,Israel,376,4,4,8,"(12.586067,-81.702563)"
2018,Julio,Grecia,300,0,1,1,"(9.402978,-75.681599)"
2014,Junio,Bélgica,56,4,8,12,"(10.445761,-75.516429)"
2013,Enero,Argentina,32,190,260,450,"(0.814836,-77.662532)"
2019,Junio,Filipinas,608,3,2,5,"(0.814836,-77.662532)"
2016,Marzo,Barbados,52,3,5,8,"(6.171601,-75.427454)"
2019,Julio,Estados Unidos de América,840,21,18,39,"(7.818934,-72.453226)"
2015,Febrero,Sudán,736,0,1,1,"(4.697144,-74.140516)"
2019,Marzo,Georgia,268,0,2,2,"(9.402978,-75.681599)"
2022,Marzo,Costa Rica,188,0,1,1,"(0.814836,-77.662532)"
2021,Febrero,República Dominicana,214,5,1,6,"(4.815061,-75.736532)"
2014,Febrero,Países Bajos,528,5,9,14,"(11.360009,-72.129330)"
2014,Noviembre,Panamá,591,8,14,22,"(7.128456,-73.183637)"
2022,Julio,Canadá,124,6,9,15,"(0.814836,-77.662532)"
2013,Septiembre,Jordania,400,0,5,5,"(4.697144,-74.140516)"
2012,Noviembre,España,724,1,15,16,"(4.815061,-75.736532)"
2012,Julio,Nueva Zelanda,554,1,3,4,"(3.541112,-76.384584)"
2013,Octubre,Serbia,688,0,1,1,"(10.408582,-75.538003)"
2022,Septiembre,Perú,604,4768,5220,9988,"(4.697144,-74.140516)"
2021,Julio,Sri Lanka,144,0,2,2,"(4.697144,-74.140516)"
2016,Febrero,República Checa,203,1,0,1,"(10.886611,-74.776708)"
2018,Abril,Portugal,620,0,1,1,"(-4.197703,-69.941278)"
2017,Enero,España,724,2725,5605,8330,"(4.697144,-74.140516)"
2015,Abril,Países Bajos,528,0,1,1,"(13.3387613,-81.372937)"
2021,Marzo,Ecuador,218,0,1,1,"(11.247723,-74.213989)"
2018,Abril,Italia,380,724,1686,2410,"(4.697144,-74.140516)"
2019,Junio,Uruguay,858,1,10,11,"(10.886611,-74.776708)"
2023,Mayo,Jamaica,388,8,11,19,"(3.541112,-76.384584)"
2020,Agosto,Argentina,32,12,17,29,"(4.697144,-74.140516)"
2017,Enero,Islandia,352,1,0,1,"(0.814836,-77.662532)"
2019,Junio,China,156,0,2,2,"(10.971302,-74.765397)"
2022,Octubre,Desconocido,99999,2,6,8,"(10.445761,-75.516429)"
2013,Noviembre,Bosnia y Herzegovina,70,2,0,2,"(4.697144,-74.140516)"
2015,Marzo,Bulgaria,100,1,0,1,"(10.886611,-74.776708)"
2020,Octubre,India,356,0,10,10,"(10.445761,-75.516429)"
2014,Agosto,Argentina,32,124,87,211,"(10.408582,-75.538003)"
